elbow_flex,Wrist_flex,fnum
134.73703050134685,171.4705756668865,0
134.7485215552279,171.50614338019417,1
134.7588772911096,171.54068170677627,2
134.76772693889166,171.57388406216106,3
134.77710074775334,171.6061795641222,4
134.78859036063378,171.63661266090605,5
134.80023721564993,171.664219170797,6
134.81255047668932,171.68763835744446,7
134.82526592147778,171.70622165382872,8
134.8365194753882,171.72079128773058,9
134.84349825306003,171.73158976115315,10
134.84355428126244,171.73942723536913,11
134.8371352052544,171.74530085654757,12
134.82828428099828,171.7522292748658,13
134.8228717655187,171.7625529273652,14
134.82110129843034,171.77742360056405,15
134.82473164868898,171.79680909166444,16
134.83517570543975,171.81863789370826,17
134.85179374796508,171.83986365043472,18
134.86675720928517,171.85723327995794,19
134.87753195189416,171.87027906393024,20
134.8840250951965,171.87921563687593,21
134.8839791637144,171.8846015300012,22
134.87934637850663,171.88904926496335,23
134.87086435680666,171.89496959704155,24
134.86063264995406,171.9034143568897,25
134.84322151793714,171.91170541259015,26
134.81798847727816,171.91801520883664,27
134.78101130100598,171.91989205546233,28
134.7309670190093,171.91547994842554,29
134.66385107080637,171.90083514366094,30
134.57986364847176,171.87440210620727,31
134.48155242079093,171.83566540417908,32
134.37441548493294,171.78767694090678,33
134.27080994752006,171.7365631465067,34
134.1770779639823,171.68743834312693,35
134.09938028088948,171.64546243482877,36
134.04292714689547,171.61456235054035,37
134.00620897609699,171.59535982057565,38
133.97922412121866,171.58318356514877,39
133.94964793318508,171.5720779159786,40
133.9145752959368,171.55820206824703,41
133.87607379157902,171.54038717992788,42
133.84196357747487,171.51868211471538,43
133.81481635556062,171.4921520896982,44
133.80436461591646,171.4644440053955,45
133.81872452158115,171.44242589514192,46
133.8610966194222,171.43186593956503,47
133.9291940875775,171.43530331871384,48
134.01879506612562,171.45180210445082,49
134.11598348350503,171.47483935525514,50
134.2080953463318,171.49784485314993,51
134.29153774056405,171.51650670542668,52
134.36494576147007,171.52969922684267,53
134.42774163329057,171.53784274950485,54
134.47663734120468,171.54117534503942,55
134.51444764993968,171.54181256898474,56
134.54741464775714,171.5428977644198,57
134.58035163068266,171.54539099614854,58
134.61527413624904,171.54865079569026,59
134.65401413782112,171.554456693867,60
134.69364191012733,171.5617870803944,61
134.72646049013503,171.5654535342716,62
134.7501218136967,171.5648433891199,63
134.76400749072897,171.55943285048056,64
134.77089610455067,171.55094555493233,65
134.77692713669632,171.54283731360775,66
134.78198638661334,171.53575950682207,67
134.77929809294204,171.52760690511175,68
134.7700640041506,171.51906543145114,69
134.7558226554237,171.51081658492564,70
134.73818289883926,171.5020910683387,71
134.72253088542175,171.49422830516158,72
134.71171661331948,171.48708498454852,73
134.71139074494062,171.4808957392655,74
134.7227406761288,171.4754558884909,75
134.74414710738813,171.47092235015984,76
134.77326565213946,171.4662554217308,77
134.79974551565783,171.45879632607742,78
134.82598475371958,171.45045990360168,79
134.8473922612837,171.439406368824,80
134.86701860428488,171.42720169988954,81
134.88808376226277,171.41567778671777,82
134.90582375812724,171.40277310120865,83
134.91965873934274,171.38763362042215,84
134.92626731162153,171.37104229499295,85
134.9214954043143,171.3540492854463,86
134.91088042929326,171.33800585832356,87
134.89623458569355,171.32395129534584,88
134.87472926054824,171.3129154715613,89
134.852559160216,171.3064928883307,90
134.82777526754433,171.30241311966378,91
134.80129430622821,171.29999851336373,92
134.77560806545893,171.29984695297543,93
134.74898434979283,171.30200268456304,94
134.72598424578092,171.30771180769545,95
134.7091280532954,171.31631201160604,96
134.69894877619254,171.32752921289293,97
134.69542083557477,171.3423439141979,98
134.70430932941042,171.3606138261318,99
134.72321721832557,171.378889650899,100
134.7505792893508,171.3957791681222,101
134.78284463458596,171.41003191302212,102
134.8246919226938,171.42370589916047,103
134.87072342867287,171.4356898269842,104
134.91355487020252,171.4454363178376,105
134.94989160287795,171.45370303098682,106
134.98476573240742,171.46439282721255,107
135.0278845359044,171.48318689436456,108
135.08187178715113,171.511387450237,109
135.14609442778584,171.54756056654685,110
135.21998049539772,171.59138655283869,111
135.2935677566987,171.63645387937078,112
135.3533483405176,171.67544258746915,113
135.39492190406392,171.7055376242741,114
135.4202304188753,171.72537136222917,115
135.42400576503388,171.7293901942601,116
135.40495255979258,171.7134872093031,117
135.36063584310486,171.6719237225665,118
135.2893200763808,171.59968712867249,119
135.1892916821015,171.4913080026409,120
135.05870673991254,171.34400310173874,121
134.90571854929954,171.16030484693047,122
134.74570963994955,170.94758669833743,123
134.6069099225949,170.7193224934176,124
134.52030268891207,170.48983802468427,125
134.52046246872314,170.27729896504783,126
134.63592343055046,170.09934674092915,127
134.88036079593124,169.96865427666805,128
135.25422896920213,169.8846947273793,129
135.74577887279617,169.83838452985944,130
136.32657967830372,169.81315004076407,131
136.95235279263363,169.7831406544711,132
137.5953790838382,169.72873378879564,133
138.23985795246213,169.63767095365017,134
138.8742263551694,169.5094478608765,135
139.47420464738977,169.36017562554207,136
140.01330975855595,169.21624528109356,137
140.45448808018674,169.09673499623995,138
140.73888578649854,169.00518481704276,139
140.82659929636623,168.94255417556965,140
140.70219313049074,168.90607974122167,141
140.39642087696555,168.88984442892024,142
139.9812146602465,168.89276661375592,143
139.58482972329932,168.93856590316426,144
139.31819708586048,169.07123521863682,145
139.23087172718803,169.32026868349365,146
139.34060821277887,169.68603537000033,147
139.58642373359072,170.10934859255988,148
139.9654702540926,170.55581265588725,149
140.4498602550278,170.98804025345896,150
141.01003780979457,171.38989958410804,151
141.61477102379718,171.76772301665508,152
142.23648489559807,172.12349085506187,153
142.84935989903488,172.46881875274445,154
143.4517055076585,172.8042849686353,155
144.0245027630462,173.13320871580953,156
144.54726467195633,173.46178669874328,157
145.0064977136658,173.79364449517,158
145.39554541655676,174.11858550879282,159
145.69407077210153,174.41177542046486,160
145.89864247756825,174.6465244420536,161
146.00747014213368,174.80087997962463,162
146.0095485510331,174.86199703556548,163
145.8809195813572,174.82513027344027,164
145.60368760394326,174.6882790558563,165
145.1777277181818,174.45479289212673,166
144.6132842335534,174.1302085016886,167
143.92119437372259,173.72666331581857,168
143.1088805605654,173.27285059209285,169
142.17691720811717,172.8180565637897,170
141.16045520656368,172.41798665113876,171
140.1387826011277,172.1035344632324,172
139.19824857949087,171.88672522139348,173
138.40973546253335,171.75942561014995,174
137.81858571416686,171.71223556157827,175
137.3891118250673,171.74115076487814,176
137.088632068177,171.85031640281431,177
136.8968768626842,172.04652322109777,178
136.75027952175762,172.28475227751005,179
136.56924060471115,172.52460846095582,180
136.33180746363792,172.76964371913647,181
136.11232317614568,173.01805662853684,182
136.01239933808526,173.3192559001501,183
136.04660360103043,173.76148555589097,184
136.27031789031648,174.41717095852908,185
136.63366861673808,175.27194959004456,186
137.09573682724363,176.15618632294948,187
137.59413951862945,176.71114841724219,188
138.11423759973175,176.61647008572288,189
138.67769524380236,176.07453482558756,190
139.23462510008108,175.5020565557651,191
139.68941445309696,175.1237907206485,192
139.98146999188012,175.05180374631783,193
140.04082976419213,175.29864287265735,194
139.8350627351911,175.74795657791287,195
139.46955328601643,176.27451394551247,196
139.0491645649771,176.804685591928,197
138.62221214213784,177.29485782907508,198
138.19985023569868,177.67369590230783,199
137.78217036490705,177.86249281480684,200
137.35723015096886,177.83968706844155,201
136.9081121100625,177.6494318040501,202
136.4303896551279,177.36042056762116,203
135.9476448384443,177.02743581508736,204
135.49747245024886,176.7064328579154,205
135.10206735708118,176.43444962195974,206
134.77880393268688,176.2116324929104,207
134.55837523366588,176.01663675117226,208
134.4479079064252,175.83544104238138,209
134.44863372459068,175.63796575812887,210
134.56255323658638,175.40061127290514,211
134.77481153040884,175.10882400532412,212
135.05029233072338,174.7581246131885,213
135.3350472714906,174.34004332063827,214
135.56879340367118,173.86361853659076,215
135.69294380008014,173.34334308567549,216
135.68202025321804,172.78811927300916,217
135.4978392641568,172.18966170372815,218
135.0934178892947,171.5311775636647,219
134.36757801738335,170.79247116862712,220
133.1998931031247,169.93379419159845,221
131.48323747599596,168.933837702123,222
129.1221265754139,167.8178500638814,223
126.07827101118657,166.6817097095068,224
122.28220149041998,165.58708727204476,225
117.71801787140146,164.60859823376225,226
112.37034668802778,163.79945608998514,227
106.3308313172805,163.22239797508198,228
99.84866792221182,162.9591783074339,229
93.2533008846059,163.06892796050457,230
86.7946703610042,163.53383087565058,231
80.63149490285574,164.24112195397308,232
74.94218471407484,165.0387275713837,233
69.8106825374237,165.76586843368204,234
65.27710739533022,166.3970333551178,235
61.29960769067628,167.08076501552375,236
57.83407304698313,168.00068777909047,237
54.88267758766222,169.25137692146933,238
52.500165634991426,170.80291273341035,239
50.7562166215895,172.49594193335508,240
49.60464674260609,174.0252915276325,241
48.991074268990175,175.11190695359835,242
48.72587951927566,175.55879142413806,243
48.49792029173132,175.27530485389588,244
47.98230267374231,174.26589451280515,245
47.06193050565949,172.44079642952858,246
45.848314684806645,169.757250351094,247
44.64784293058095,166.3371596330987,248
43.8669587383037,162.45794833410903,249
